t, px ,py ,pz ,vx ,vy ,vz ,ax ,ay ,az , fgx ,fgy ,fgz ,fex ,fey ,fez ,fx ,fy ,fz
0, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 7.190e-02, -1.438e-01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 7.190e-02, -1.438e-01, 0.000e+00, 7.190e-02, -1.438e-01, 0.000e+00
1, 3.595e-02, -7.190e-02, 0.000e+00, 7.718e-01, 4.534e-02, 0.000e+00, 7.718e-01, 4.534e-02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 7.718e-01, 4.534e-02, 0.000e+00, 7.718e-01, 4.534e-02, 0.000e+00
2, 1.194e+00, -3.888e-03, 0.000e+00, 7.718e-01, 2.371e+01, 0.000e+00, 1.127e-05, 2.366e+01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.127e-05, 2.366e+01, 0.000e+00, 1.127e-05, 2.366e+01, 0.000e+00
3, 1.965e+00, 3.554e+01, 0.000e+00, 7.718e-01, 2.371e+01, 0.000e+00, 2.461e-06, -8.027e-10, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 2.461e-06, -8.027e-10, 0.000e+00, 2.461e-06, -8.027e-10, 0.000e+00
4, 2.737e+00, 5.925e+01, 0.000e+00, 7.718e-01, 2.371e+01, 0.000e+00, 9.010e-07, -1.731e-10, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.010e-07, -1.731e-10, 0.000e+00, 9.010e-07, -1.731e-10, 0.000e+00
5, 3.509e+00, 8.296e+01, 0.000e+00, 7.718e-01, 2.371e+01, 0.000e+00, 4.251e-07, -6.303e-11, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 4.251e-07, -6.303e-11, 0.000e+00, 4.251e-07, -6.303e-11, 0.000e+00
6, 4.281e+00, 1.067e+02, 0.000e+00, 7.718e-01, 2.371e+01, 0.000e+00, 2.332e-07, -2.964e-11, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 2.332e-07, -2.964e-11, 0.000e+00, 2.332e-07, -2.964e-11, 0.000e+00
7, 5.053e+00, 1.304e+02, 0.000e+00, 7.718e-01, 2.371e+01, 0.000e+00, 1.414e-07, -1.623e-11, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.414e-07, -1.623e-11, 0.000e+00, 1.414e-07, -1.623e-11, 0.000e+00
8, 5.825e+00, 1.541e+02, 0.000e+00, 7.718e-01, 2.371e+01, 0.000e+00, 9.215e-08, -9.831e-12, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.215e-08, -9.831e-12, 0.000e+00, 9.215e-08, -9.831e-12, 0.000e+00
9, 6.596e+00, 1.778e+02, 0.000e+00, 7.718e-01, 2.371e+01, 0.000e+00, 6.335e-08, -6.399e-12, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 6.335e-08, -6.399e-12, 0.000e+00, 6.335e-08, -6.399e-12, 0.000e+00
