tempo, px ,py ,pz ,vx ,vy ,vz ,ax ,ay ,az ,fgx ,fgy ,fgz ,fex ,fey ,fez ,fx ,fy ,fz
1,4.95E+00,2.96E+00,1.02E+00,-3.35E-02,-2.70E-02,1.27E-02,-3.35E-02,-2.70E-02,1.27E-02,-6.60E-66,-2.20E-66,3.86E-66,-1.55E-29,-5.16E-30,9.05E-30,-5.36E-29,-4.33E-29,2.04E-29
2,4.81E+00,2.85E+00,1.07E+00,-1.02E-01,-8.23E-02,3.86E-02,-6.83E-02,-5.53E-02,2.59E-02,-6.83E-66,-2.22E-66,4.01E-66,-1.60E-29,-5.22E-30,9.40E-30,-1.10E-28,-8.85E-29,4.14E-29
3,4.55E+00,2.64E+00,1.17E+00,-2.09E-01,-1.70E-01,7.88E-02,-1.07E-01,-8.72E-02,4.02E-02,-7.54E-66,-2.28E-66,4.45E-66,-1.77E-29,-5.34E-30,1.05E-29,-1.72E-28,-1.40E-28,6.43E-29
4,4.11E+00,2.27E+00,1.33E+00,-3.66E-01,-2.98E-01,1.36E-01,-1.57E-01,-1.29E-01,5.69E-02,-9.20E-66,-2.30E-66,5.53E-66,-2.16E-29,-5.39E-30,1.30E-29,-2.52E-28,-2.06E-28,9.11E-29
5,3.39E+00,1.68E+00,1.59E+00,-6.03E-01,-4.99E-01,2.13E-01,-2.37E-01,-2.00E-01,7.75E-02,-1.32E-65,-1.72E-66,8.29E-66,-3.11E-29,-4.04E-30,1.95E-29,-3.79E-28,-3.21E-28,1.24E-28
6,2.13E+00,4.53E-01,1.97E+00,-1.04E+00,-9.81E-01,3.25E-01,-4.37E-01,-4.83E-01,1.12E-01,-2.35E-65,5.52E-66,1.73E-65,-5.53E-29,1.30E-29,4.06E-29,-7.00E-28,-7.73E-28,1.79E-28
7,6.90E-01,-1.03E+00,2.45E+00,-1.31E+00,-1.31E+00,4.29E-01,-2.66E-01,-3.33E-01,1.04E-01,-2.30E-66,2.79E-65,2.78E-65,-5.39E-30,6.54E-29,6.51E-29,-4.26E-28,-5.33E-28,1.67E-28
8,-9.76E-01,-2.80E+00,3.03E+00,-1.55E+00,-1.62E+00,5.29E-01,-2.40E-01,-3.03E-01,1.00E-01,3.46E-66,7.98E-66,3.38E-66,8.11E-30,1.87E-29,7.94E-30,-3.85E-28,-4.85E-28,1.60E-28
9,-2.87E+00,-4.85E+00,3.70E+00,-1.78E+00,-1.91E+00,6.26E-01,-2.32E-01,-2.93E-01,9.69E-02,1.61E-66,2.60E-66,-2.68E-68,3.78E-30,6.09E-30,-6.28E-32,-3.71E-28,-4.70E-28,1.55E-28
10,-4.99E+00,-7.20E+00,4.47E+00,-2.00E+00,-2.20E+00,7.21E-01,-2.28E-01,-2.89E-01,9.53E-02,7.92E-67,1.12E-66,-1.95E-67,1.86E-30,2.62E-30,-4.57E-31,-3.65E-28,-4.63E-28,1.53E-28
11,-7.33E+00,-9.82E+00,5.33E+00,-2.23E+00,-2.49E+00,8.16E-01,-2.26E-01,-2.86E-01,9.44E-02,4.35E-67,5.72E-67,-1.48E-67,1.02E-30,1.34E-30,-3.47E-31,-3.61E-28,-4.59E-28,1.51E-28
12,-9.90E+00,-1.27E+01,6.29E+00,-2.45E+00,-2.77E+00,9.10E-01,-2.24E-01,-2.85E-01,9.38E-02,2.60E-67,3.29E-67,-1.02E-67,6.09E-31,7.72E-31,-2.39E-31,-3.60E-28,-4.57E-28,1.50E-28
13,-1.27E+01,-1.59E+01,7.34E+00,-2.68E+00,-3.05E+00,1.00E+00,-2.24E-01,-2.84E-01,9.35E-02,1.66E-67,2.05E-67,-7.02E-68,3.88E-31,4.81E-31,-1.65E-31,-3.58E-28,-4.55E-28,1.50E-28
14,-1.57E+01,-1.94E+01,8.48E+00,-2.90E+00,-3.34E+00,1.10E+00,-2.23E-01,-2.84E-01,9.32E-02,1.11E-67,1.35E-67,-4.96E-68,2.60E-31,3.18E-31,-1.16E-31,-3.58E-28,-4.55E-28,1.49E-28
15,-1.89E+01,-2.32E+01,9.72E+00,-3.12E+00,-3.62E+00,1.19E+00,-2.23E-01,-2.83E-01,9.30E-02,7.73E-68,9.36E-68,-3.59E-68,1.82E-31,2.20E-31,-8.43E-32,-3.57E-28,-4.54E-28,1.49E-28
16,-2.24E+01,-2.72E+01,1.11E+01,-3.35E+00,-3.90E+00,1.28E+00,-2.23E-01,-2.83E-01,9.29E-02,5.57E-68,6.70E-68,-2.66E-68,1.31E-31,1.57E-31,-6.25E-32,-3.57E-28,-4.53E-28,1.49E-28
17,-2.61E+01,-3.16E+01,1.25E+01,-3.57E+00,-4.19E+00,1.38E+00,-2.22E-01,-2.83E-01,9.28E-02,4.12E-68,4.94E-68,-2.01E-68,9.67E-32,1.16E-31,-4.73E-32,-3.56E-28,-4.53E-28,1.49E-28
18,-3.00E+01,-3.62E+01,1.40E+01,-3.79E+00,-4.47E+00,1.47E+00,-2.22E-01,-2.83E-01,9.28E-02,3.12E-68,3.73E-68,-1.55E-68,7.32E-32,8.75E-32,-3.64E-32,-3.56E-28,-4.53E-28,1.49E-28
19,-3.41E+01,-4.11E+01,1.56E+01,-4.01E+00,-4.75E+00,1.56E+00,-2.22E-01,-2.83E-01,9.27E-02,2.41E-68,2.87E-68,-1.22E-68,5.65E-32,6.74E-32,-2.86E-32,-3.56E-28,-4.53E-28,1.49E-28
20,-3.84E+01,-4.62E+01,1.73E+01,-4.24E+00,-5.04E+00,1.65E+00,-2.22E-01,-2.82E-01,9.27E-02,1.89E-68,2.25E-68,-9.67E-69,4.43E-32,5.28E-32,-2.27E-32,-3.56E-28,-4.53E-28,1.48E-28
